"biosphere","id","river","site","weather","other_weather","start_comment","dissolved_oxygen_ppm","dissolved_oxygen_percent","time","nitrate","phosphate","salinity_ppt","salinity_percent","tds","electrical_conductivity","ph","irrigation_suitability","air_temperature","latitude","longitude","altitude_m","location_accuracy_m","datetime","date","flag_ph","flag_do_ppm","flag_do_percent","flag_ec","flag_temp","any_flag"
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","partly_cloudy","","",NA,224.7,"03/13/2024 09:10",NA,NA,NA,NA,NA,73.3,8.11,"pH reading indicates the water is suitable for irrigation",26.8,-24.3023617,30.5052232,622.8,4.8,2024-03-13 09:10:00,2024-03-13,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","light_rain","","",NA,146.7,"03/14/2024 08:08",NA,NA,NA,NA,NA,199,8.59,"pH reading indicates the water is NOT suitable for irrigation",26.3,-24.3617467,30.6586133,467.4,4.1,2024-03-14 08:08:00,2024-03-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","cloudy","","",NA,125.7,"03/19/2024 07:52",NA,NA,NA,NA,NA,47.5,8.19,"pH reading indicates the water is suitable for irrigation",25.3,-24.2587219,30.4538698,610.2,3.814,2024-03-19 07:52:00,2024-03-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","",3.34,43.2,"06/21/2024 10:51",NA,NA,NA,NA,NA,128.6,7.91,"pH reading indicates the water is suitable for irrigation",18,-22.74556,30.8843583,391.7,5,2024-06-21 10:51:00,2024-06-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","cloudy","","",NA,125.7,"03/19/2024 08:17",NA,NA,NA,NA,NA,47.5,8.19,"pH reading indicates the water is suitable for irrigation",25.3,-24.2587219,30.4538698,610.2,3.814,2024-03-19 08:17:00,2024-03-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","cloudy","","",NA,125.7,"03/19/2024 08:20",NA,NA,NA,NA,NA,47.5,8.19,"pH reading indicates the water is suitable for irrigation",25.3,-24.2587219,30.4538698,610.2,3.814,2024-03-19 08:20:00,2024-03-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe Site 1","Levubu River","Mulenzhe Site 1","cloudy","","",1.29,13.1,"06/24/2024 09:28",NA,NA,NA,NA,NA,53.8,8.42,"pH reading indicates the water is suitable for irrigation",18.1,-22.9710764,30.6038104,442.5,4.84,2024-06-24 09:28:00,2024-06-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 2","Moetladimo","Site 2","cloudy","","",NA,131.5,"03/19/2024 08:42",NA,NA,NA,NA,NA,48,7.85,"pH reading indicates the water is suitable for irrigation",24.8,-24.2516824,30.452053,603,3.966,2024-03-19 08:42:00,2024-03-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 3","Moetladimo","Site 3","cloudy","","",NA,118.2,"03/19/2024 23:31",NA,NA,NA,NA,NA,51.1,7.72,"pH reading indicates the water is suitable for irrigation",25.5,-24.2469356,30.4552699,603,4.857,2024-03-19 23:31:00,2024-03-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","cloudy","","",1.29,13.1,"06/24/2024 09:28",NA,NA,NA,NA,NA,53.8,8.42,"pH reading indicates the water is suitable for irrigation",18.1,-22.97116014,30.60378286,490.3941682,4.9,2024-06-24 09:28:00,2024-06-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 1","Kubjaname","Site 1","cloudy","","",NA,142.5,"03/20/2024 08:02",NA,NA,NA,NA,NA,44.3,7.81,"pH reading indicates the water is suitable for irrigation",24.6,-24.3044421,30.5049648,627.4,4.933,2024-03-20 08:02:00,2024-03-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 2","Kubjaname","Site 2","cloudy","","",NA,134,"03/20/2024 08:32",NA,NA,NA,NA,NA,76.3,7.84,"pH reading indicates the water is suitable for irrigation",24.8,-24.3035641,30.5046637,618.9,4.75,2024-03-20 08:32:00,2024-03-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","cloudy","","",NA,NA,"03/20/2024 09:33",NA,NA,NA,NA,NA,78,7.76,"pH reading indicates the water is suitable for irrigation",24.9,-24.3022944,30.5052766,616.5,4.86,2024-03-20 09:33:00,2024-03-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","cloudy","","",2.59,31.7,"06/24/2024 09:42",NA,NA,NA,NA,NA,171.7,8.28,"pH reading indicates the water is suitable for irrigation",17,-22.7275375,30.8853367,418.8,4.28,2024-06-24 09:42:00,2024-06-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","cloudy","","",2.39,31.7,"06/24/2024 09:44",NA,NA,NA,NA,NA,171.7,8.28,"pH reading indicates the water is suitable for irrigation",17,-22.7275631,30.8852822,414.4,3.385,2024-06-24 09:44:00,2024-06-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 1","Kubjaname","Site 1","cloudy","","",NA,NA,"04/03/2024 08:22",NA,NA,NA,NA,NA,63,7.86,"pH reading indicates the water is suitable for irrigation",22.2,-24.3044996,30.5051705,633.2,4.84,2024-04-03 08:22:00,2024-04-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 2","Kubjaname","Site 2","cloudy","","",NA,NA,"04/03/2024 08:51",NA,NA,NA,NA,NA,64.2,7.83,"pH reading indicates the water is suitable for irrigation",22.5,-24.3036076,30.5046911,624.2,4.885,2024-04-03 08:51:00,2024-04-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","cloudy","","",NA,NA,"04/03/2024 09:30",NA,NA,NA,NA,NA,66.3,8.36,"pH reading indicates the water is suitable for irrigation",23,-24.3022576,30.5052802,626,4,2024-04-03 09:30:00,2024-04-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","partly_cloudy","","",NA,108.2,"04/04/2024 22:19",NA,NA,NA,NA,NA,191.1,8.62,"pH reading indicates the water is NOT suitable for irrigation",24.4,-24.3614433,30.6586433,472.2,4,2024-04-04 22:19:00,2024-04-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","cloudy","","",NA,121.1,"04/11/2024 23:33",NA,NA,NA,NA,NA,166,8.45,"pH reading indicates the water is suitable for irrigation",22.2,-24.3617038,30.6586178,466.2,4.88,2024-04-11 23:33:00,2024-04-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","cloudy","","",NA,103.9,"04/16/2024 08:57",NA,NA,NA,NA,NA,49,8.54,"pH reading indicates the water is NOT suitable for irrigation",22.1,-24.2587595,30.4539247,615,4.875,2024-04-16 08:57:00,2024-04-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 3","Olifants","Site 3","cloudy","","",NA,108,"04/17/2024 07:50",NA,NA,NA,NA,NA,48.3,8.16,"pH reading indicates the water is suitable for irrigation",22.2,-24.2469848,30.4553306,602.7000122,4.75,2024-04-17 07:50:00,2024-04-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 1","Kubjaname","Site 1","cloudy","","",NA,111.7,"04/17/2024 08:21",NA,NA,NA,NA,NA,53.2,8.24,"pH reading indicates the water is suitable for irrigation",19.9,-24.3043983,30.5049299,626.8,4.22,2024-04-17 08:21:00,2024-04-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 2","Kubjaname","Site 2","cloudy","","",NA,117.4,"04/17/2024 08:50",NA,NA,NA,NA,NA,53.8,7.64,"pH reading indicates the water is suitable for irrigation",20.4,-24.303539,30.504737,634.6,4.4,2024-04-17 08:50:00,2024-04-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","partly_cloudy","","",NA,112,"04/17/2024 09:27",NA,NA,NA,NA,NA,52.4,7.19,"pH reading indicates the water is suitable for irrigation",21.6,-24.3022687,30.5052104,604,3.9,2024-04-17 09:27:00,2024-04-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu01","Levubu River","Luvuvhu01","partly_cloudy","","Training day data capture",1.58,20.3,"04/16/2024 12:52",NA,NA,NA,NA,NA,231,8.29,"pH reading indicates the water is suitable for irrigation",26.1,-22.9712118,30.6038091,485,5,2024-04-16 12:52:00,2024-04-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu01","Levubu River","Luvuvhu01","sunny","","",1.06,13,"04/19/2024 09:54",NA,NA,NA,NA,NA,138,7.6,"pH reading indicates the water is suitable for irrigation",26.6,-23.0540986,30.2969119,660.1850586,4.621,2024-04-19 09:54:00,2024-04-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu 03","Levubu River","Luvuvhu 03","sunny","","Normal sunny day",0.45,6.3,"04/22/2024 09:21",NA,NA,NA,NA,NA,120.4,6.44,"pH reading indicates the water is NOT suitable for irrigation",23.8,-22.7455781,30.8841773,397.7,4.825,2024-04-22 09:21:00,2024-04-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu03","Levubu River","Luvuvhu03","sunny","","Just a normal sunny day",0.45,6.3,"04/22/2024 09:20",NA,NA,NA,NA,NA,120.4,6.44,"pH reading indicates the water is NOT suitable for irrigation",23.8,-22.74556,30.8842101,435.7,5,2024-04-22 09:20:00,2024-04-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
