"biosphere","parameter_label","n","mean","sd","cv","iqr","p10","p90","p90_p10"
"Marico BR","Air temperature (°C)",8,17.1625,3.88253874969164,0.226222214111676,5.375,13.31,22.3,1.67543200601052
"Kruger 2 Canyons BR","Air temperature (°C)",275,17.8082181818182,3.1569824285879,0.177276715522899,3.6,13.928,22.2,1.59391154508903
"Vhembe BR","Air temperature (°C)",112,19.7875,2.44017149744376,0.123318837520847,4,17.2,23.27,1.35290697674419
"Vhembe BR","Dissolved oxygen (mg/L)",100,2.7627,3.50774434845834,1.26967978733063,2.43,0.45,7.518,16.7066666666667
"Marico BR","Dissolved oxygen (mg/L)",8,6.1475,2.54561106893526,0.414088827805654,2.4275,3.573,8.69,2.43212986286034
"Kruger 2 Canyons BR","Dissolved oxygen (mg/L)",122,9.92549180327869,3.09330070640777,0.311652134495337,3.02,7.139,13.809,1.9343045244432
"Kruger 2 Canyons BR","Electrical conductivity (µS/cm)",275,177.584727272727,148.811698009372,0.837975766805856,186.35,51.14,383.4,7.49706687524443
"Marico BR","Electrical conductivity (µS/cm)",8,228.225,131.301036335808,0.575313994241682,80.675,47.16,338.3,7.17345207803223
"Vhembe BR","Electrical conductivity (µS/cm)",111,137.681981981982,49.9196394184934,0.362572056996,46.3,86.1,175.5,2.0383275261324
"Kruger 2 Canyons BR","pH",259,7.87764478764479,0.596821890901431,0.07576146259317,0.654999999999999,7.014,8.562,1.22070145423439
"Marico BR","pH",8,8.1775,0.379162611176637,0.0463665681658988,0.559999999999999,7.851,8.606,1.09616609349127
"Vhembe BR","pH",111,7.85495495495495,0.359893605171594,0.0458173989838822,0.350000000000001,7.54,8.28,1.09814323607427
